Iteration,Fitness,Chromosomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-39098.12308,[443.51,458.51,475.36,430.98,450.08,469.12,424.74,441.77,456.95,473.79,429.39,445.31,460.27,-300.46,511.95,-280.32,502.05,452.48,468.55,424.05,438.91,451.53,464.74,-302.17,511.87,404.07,-375.27,-401.18,-426.2,367.53,511.93,404.83,157.39,295.38,-478.11,371.13,502.94,453.35,461.78,472.81,-305.43,511.83,403.79,-370.65,-440.48,386.84,-368.89,-393.82,-418.22, -333.92]
2,-41418.40608,[443.93,458.4,472.21,428.59,443.23,459.32,475.59,431.31,445.18,458.2,473.26,428.87,444.36,458.78,475.31,430.73,443.77,455.63,468.82,424.29,440.93,455.42,471.1,-261.38,278.12,-476.51,373.84,512,403.03,-359.84,492.27,442.67,455.7,470.43,425.93,450.63,474.71,430.02,446.14,460.82,-300.48,504.91,455.35,464.33,476.46,426.99,440.89,453.04,465.83, -487.14]
3,-39627.52118,[476.74,426.99,439.51,450.04,461.16,475.05,425.6,437.2,446.24,454.47,462.7,473.43,-305.77,511.98,403.81,-369.35,-439.29,369.48,511.97,408.33,426.46,439.36,449.89,460.6,473.93,424.4,-371.76,-441.11,369.75,511.99,403.87,-369.96,-394.29,-417.54,-441.64,366.51,501.39,452.03,464.67,-300.52,-463.86,368.57,498.96,449.35,460.62,474.41,364.89,497.49,447.94, -389.99]
4,-39856.14901,[454.03,468.39,424.01,440.58,454.77,469.63,425.1,438.36,448.94,459.29,471.82,422.32,-373.22,-442.49,363.08,489.22,439.54,450.18,461.06,474.02,424.7,-373.05,-442.32,367.26,503.57,454.06,471.97,427.7,449.14,470.11,425.77,442.37,457.3,-297.81,-462.55,369.86,503.58,-273.17,280.53,-480.33,392.32,-367.53,-437.25,364.22,496.25,446.45,463.37,418.94,436.23, -41.89]
5,-40262.31896,[477.19,427.85,441.45,454.12,468.95,424.9,448.72,471.45,426.92,444.34,459.88,-300.37,512,403,-359.03,511.82,410.73,434.41,452.93,472.44,427.84,444.31,459.89,-300.22,511.93,402.97,-359.11,512,402.87,-359.11,511.88,403.5,-368.07,-437.45,362.91,491.94,442.27,455.6,470.42,426.09,445.69,-293.51,-460.15,367.78,498.37,448.72,461.02,475.85,431.39, 129.04]
6,-40894.85463,[430.97,439.64,456.16,474.2,430.75,448.63,463.08,476.82,432.33,450.42,468.86,424.38,437.25,448.08,458.33,470.11,-304.5,510.15,460.42,471.56,-304.96,511.96,403.64,-368.63,-437.72,362.47,490.31,440.63,452.72,465.62,-302.57,512,410.76,433.85,452.03,470.77,426.41,447.28,467.34,423.04,441.22,457.3,-299.18,511.96,-280.51,506.57,457.08,475,430.35, -138.99]
7,-39501.80431,[477.01,427.89,438.55,448.58,458.97,471.17,421.74,434.9,444.52,453.04,462.18,473.92,424.51,439.26,451.79,464.91,-302.38,511.98,403.67,-367.76,-436.82,359.15,476.33,426.61,-372.48,-441.14,369.8,511.99,403.05,-359.04,511.98,403.49,-367.37,-436.83,362.01,488.7,439.1,451.76,465.23,415.75,-370.42,-439.8,365.47,499.31,385.48,511.96,409.39,430.11,445.79, -10.21]
8,-39707.00276,[482.09,437.59,453.25,469.03,424.6,437.51,448.04,457.52,468.96,484.42,-271.08,-450.17,369.02,505.7,456.12,473.05,428.69,447.68,466.41,422.27,450.3,477.44,432.53,446.26,458.22,472.28,427.69,439.29,449.05,458.76,470.64,421.1,-372.2,-441.54,368.1,507.26,-279.03,-453.18,369.28,505.55,456.03,411.49,-360.58,511.96,405.17,160.66,320.46,482.13,432.65, 440.36]
9,-39222.30791,[454.86,470.14,425.32,440.28,453.19,465.94,-302.63,512,409.19,429.53,445.09,460.05,-300.46,511.95,409.05,428.82,443.51,456.94,471.91,427.51,444.01,459.15,409.68,-360.3,511.98,403.93,-371.59,-441.6,386.89,-367.92,-437.94,369.49,511.99,403.22,-362.65,-430.64,-172.54,-511.91,-282.77,-455.33,370.93,509.88,465.22,420.79,435.96,448.1,460.43,475.1,430.63, -220.89]
10,-40318.16527,[477.91,428.33,442.76,455.2,464.58,480.1,435.7,453.25,471.58,427.32,449.81,471.87,427.69,449.92,471.38,427.16,440.24,451.35,462.25,475.34,365.77,496.1,446.43,453.84,462.36,473.52,429.12,448.41,-296.03,511.94,404.04,-373.72,-444.03,-373.46,-443.18,-372.82,-442.14,370.15,511.68,410.68,433.78,451.94,-297.19,511.98,403.68,-369.52,-439,369.53,511.89, -61.84]
